,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season,last_link
0,Cork City,Bohemians,1 - 2,19:45,R. Keating 82',"19' G. Horton
53' J. Flores",2023-02-17,'Robert Hennessy',"""Turner's Cross""",6487,2023,4467
1,Shelbourne,Drogheda United,0 - 0,19:45,,,2023-02-17,'Paul McLaughlin','Tolka Park',3424,2023,4467
2,St Patrick's Athletic,Derry City,1 - 1,19:45,J. Redmond 89',32' J. McEneff,2023-02-17,'Robert Harvey','Richmond Park',4789,2023,4467
3,Dundalk,UCD,1 - 1,19:45,J. Martin 34',78' C. Behan,2023-02-17,'Arnold Hunter','Oriel Park',3142,2023,4467
4,Sligo Rovers,Shamrock Rovers,1 - 1,19:45,L. Browning-Lagerfeldt 94',17' G. Burke,2023-02-18,'Damien MacGraith','The Showgrounds',4248,2023,4467
5,Derry City,Cork City,2 - 0,19:45,"P. McEleney 31'
J. McEneff 63'",,2023-02-24,'Damien MacGraith','The Ryan McBride Brandywell Stadium',3305,2023,4467
6,Drogheda United,Shamrock Rovers,1 - 1,19:45,R. Brennan 89',53' G. Burke,2023-02-24,'Sean Grant','Weavers Park',2182,2023,4467
7,St Patrick's Athletic,Shelbourne,1 - 0,19:45,E. Doyle 84',,2023-02-24,'Neil Doyle','Richmond Park',4930,2023,4467
8,UCD,Sligo Rovers,2 - 3,19:45,"A. Nolan 5'
D. Kinsella-Bishop 49'","21' M. Mata
69' M. Mata
82' M. Mata",2023-02-24,'Raymond Matthews','UCD Bowl',716,2023,4467
9,Bohemians,Dundalk,2 - 1,19:45,"J. Flores 46'
D. McDaid 71'",89' J. Yli-Kokko,2023-02-24,'Robert Harvey','Dalymount Park',4432,2023,4467
10,Shamrock Rovers,Derry City,1 - 2,20:00,J. Kenny 26',"18' B. Doherty
54' J. McGonigle",2023-03-03,'Neil Doyle','Tallaght Stadium',7626,2023,4467
11,Shelbourne,Bohemians,1 - 0,19:45,K. Leavy 78',,2023-03-03,'Arnold Hunter','Tolka Park',4140,2023,4467
12,Cork City,UCD,4 - 0,19:45,"M. Healy 13'
D. Crowley 45'
R. Keating 66'
E. Varian 71'",,2023-03-03,'Sean Grant',"""Turner's Cross""",4857,2023,4467
13,Drogheda United,Sligo Rovers,1 - 0,19:45,A. Foley 59',,2023-03-03,'Adriano Reale','Weavers Park',1544,2023,4467
14,Dundalk,St Patrick's Athletic,5 - 0,19:45,"P. Hoban 5'
L. Annesley 15'
R. Tulloch 51'
D. Kelly 53'
C. Malley 84'",,2023-03-03,'Paul McLaughlin','Oriel Park',3487,2023,4467
15,Bohemians,Drogheda United,3 - 1,19:45,"J. Flores 9'
A. Coote 38'
J. Akintunde 51'",15' F. Draper,2023-03-06,'Raymond Matthews','Dalymount Park',4114,2023,4467
16,Shamrock Rovers,Cork City,4 - 4,20:00,"R. Gaffney 14'
L. Grace 53'
S. Power 84'
S. Hoare 97'","34' R. Keating
38' D. Crowley
58' K. Čustović
69' D. Crowley",2023-03-06,'Robert Harvey','Tallaght Stadium',4028,2023,4467
17,UCD,Derry City,0 - 4,19:45,E. Osam 75',"15' J. McEneff
41' J. McEneff
65' O. O'Neill",2023-03-06,'David Dunne','UCD Bowl',406,2023,4467
18,Dundalk,Shelbourne,2 - 1,19:45,"R. Tulloch 47'
A. Boyle 68'",15' J. Wilson,2023-03-06,'Damien MacGraith','Oriel Park',2766,2023,4467
19,Sligo Rovers,St Patrick's Athletic,2 - 1,19:45,"R. Hutchinson 32'
F. Hartmann 67'",62' C. Forrester,2023-03-06,'Robert Hennessy','The Showgrounds',2751,2023,4467
20,UCD,Drogheda United,0 - 1,19:45,,73' E. Adegboyega,2023-03-10,"""Kevin O'Sullivan""",'UCD Bowl',438,2023,4467
21,St Patrick's Athletic,Bohemians,0 - 2,19:45,,"18' J. Afolabi
92' D. Williams",2023-03-10,'Neil Doyle','Richmond Park',5002,2023,4467
22,Derry City,Dundalk,0 - 0,19:45,,,2023-03-10,'Robert Hennessy','The Ryan McBride Brandywell Stadium',3550,2023,4467
23,Shelbourne,Shamrock Rovers,0 - 0,19:45,,,2023-03-10,'Paul McLaughlin','Tolka Park',4140,2023,4467
24,Sligo Rovers,Cork City,2 - 2,19:45,"É. Clancy 79'
M. Mata 93'","18' J. Häkkinen
63' R. Keating",2023-03-11,'Arnold Hunter','The Showgrounds',3178,2023,4467
25,Drogheda United,Dundalk,0 - 1,19:45,,65' C. Malley,2023-03-16,'Paul McLaughlin','Weavers Park',2193,2023,4467
26,Derry City,Sligo Rovers,1 - 1,19:45,C. Coll 81',25' M. Mata,2023-03-17,'Adriano Reale','The Ryan McBride Brandywell Stadium',3210,2023,4467
27,Shamrock Rovers,St Patrick's Athletic,2 - 2,17:00,"R. Towell 20'
J. Byrne 54'","42' E. Doyle
88' J. Mulraney",2023-03-17,'Damien MacGraith','Tallaght Stadium',7674,2023,4467
28,Cork City,Shelbourne,0 - 2,17:00,J. Honohan 10',50' J. Moylan,2023-03-17,'Raymond Matthews',"""Turner's Cross""",5078,2023,4467
29,Bohemians,UCD,2 - 1,19:45,"P. Kirk 55'
A. Coote 58'",12' D. Kinsella-Bishop,2023-03-17,'Robert Harvey','Dalymount Park',4017,2023,4467
30,St Patrick's Athletic,UCD,3 - 0,19:45,"C. Forrester 16'
J. Mulraney 38'
C. Forrester 52'",,2023-03-31,'Sean Grant','Richmond Park',3411,2023,4467
31,Shelbourne,Derry City,0 - 1,19:45,,11' R. Graydon,2023-03-31,'Paul McLaughlin','Tolka Park',2950,2023,4467
32,Dundalk,Shamrock Rovers,0 - 4,19:45,,"22' R. Gaffney
37' L. Grace
71' J. Kenny
76' G. Burke",2023-03-31,'Arnold Hunter','Oriel Park',3761,2023,4467
33,Cork City,Drogheda United,1 - 1,19:45,"R. Keating 17'
A. Gilchrist 40'",,2023-03-31,'Robert Harvey',"""Turner's Cross""",4069,2023,4467
34,Sligo Rovers,Bohemians,0 - 1,19:45,,83' K. Nowak,2023-04-01,'Robert Hennessy','The Showgrounds',3651,2023,4467
35,Bohemians,Shamrock Rovers,0 - 2,19:45,,"44' N. Farrugia
67' R. Gaffney",2023-04-07,'Robert Harvey','Dalymount Park',4209,2023,4467
36,Derry City,Drogheda United,0 - 1,19:45,,78' E. Ahui,2023-04-07,'Arnold Hunter','The Ryan McBride Brandywell Stadium',3605,2023,4467
37,Dundalk,Sligo Rovers,1 - 2,19:45,R. Tulloch 44',"16' M. Mata
89' S. Radosavljević",2023-04-07,'Damien MacGraith','Oriel Park',2457,2023,4467
38,St Patrick's Athletic,Cork City,4 - 0,19:45,"J. Mulraney 15'
J. McClelland 64'
J. Lennon 75'
M. Doyle 90'",,2023-04-07,'Robert Hennessy','Richmond Park',3689,2023,4467
39,UCD,Shelbourne,0 - 0,19:45,,,2023-04-07,"""Eoghan O'Shea""",'UCD Bowl',968,2023,4467
40,Derry City,Bohemians,0 - 1,19:00,,66' D. Williams,2023-04-10,'Neil Doyle','The Ryan McBride Brandywell Stadium',3600,2023,4467
41,Cork City,Dundalk,1 - 0,17:00,C. Murphy 38',,2023-04-10,'Sean Grant',"""Turner's Cross""",3647,2023,4467
